title,job_type,city,code,hc,max_salary,min_salary
高级研发工程师 - 效能体系 - 代码中台方向,基础架构,上海,JNFFL,5,60,30
虚拟化研发工程师,基础架构,北京,8XKF1,5,30,20
云计算PaaS产品SRE工程师,基础架构,北京,NU3V,10,50,20
边缘计算—平台研发,基础架构,北京,PPRP,6,50,25
系统分析（服务器）,基础架构,深圳,RTUV,2,50,25
SoC系统软件工程师,基础架构,深圳,JWWQL,6,40,20
基础架构(高级)研发工程师-CDN,基础架构,杭州,DPF1,10,50,25
火山引擎云原生大数据JAVA工程师/架构师,基础架构,杭州,J32VV,10,60,30
云原生半结构化数据库研发工程师,基础架构,成都,7AUV,5,60,30
边缘PaaS研发工程师,基础架构,北京,R1SJ1,5,40,20
高级研发工程师 - 效能体系 - Serverless方向,基础架构,上海,JHJFL,5,60,30
高级研发工程师 - 效能体系 - 代码中台方向,基础架构,北京,JPHFL,5,60,30
基础存储架构师/工程师 -- Bytestore,基础架构,北京,JW6J1,10,50,25
SOC前端设计（ARM）,基础架构,深圳,NEUV,2,50,25
经营分析师-内部技术产品管理,基础架构,北京,L5W2,2,50,20
SoC系统开发/验证实习生,基础架构,杭州,JANV,3,8,5
网络虚拟化资深研发工程师,基础架构,北京,YCX1,4,44,25
SoC系统验证工程师,基础架构,深圳,RKQL,5,40,25
前端开发工程师 - 云计算方向,基础架构,北京,AV6L,5,60,30
NoSQL数据库产品开发工程师,基础架构,杭州,JD5U2,5,65,25
高级研发工程师 - 效能体系 - IDE方向,基础架构,北京,P2FL,5,60,30
高级研发工程师 - 效能体系 - 代码中台方向,基础架构,杭州,PHFL,5,60,30
服务端(高级)研发工程师 - 智能处理开发平台,基础架构,北京,QPP2,5,50,25
容器技术专家（云原生）,基础架构,杭州,J4THL,2,60,30
高级研发工程师 - 效能体系 - 度量方向,基础架构,北京,J12FL,5,60,30
客户端（高级）开发工程师 - 测试框架及IDE方向,基础架构,深圳,Y3705,5,60,30
SOC架构设计（ARM）,基础架构,深圳,JSLEV,2,50,25
HTAP/HSAP 实时引擎开发工程师/架构师,基础架构,杭州,JLRVV,5,60,30
基础架构工程师 - 研发环境方向,基础架构,上海,JFFL,5,60,30
服务端/系统架构师,基础架构,北京,JG79L,10,100,50
基础架构工程师 - 研发环境方向,基础架构,北京,6HFL,5,60,30
SSD固件研发工程师,基础架构,杭州,JKFHV,5,40,20
推荐架构工程师 ,基础架构,上海,JLJV,2,50,25
异构计算工程师,基础架构,上海,4ESP,3,40,25
网络虚拟化资深研发工程师,基础架构,上海,JGMQL,3,40,25
边缘计算研发工程师,基础架构,北京,SJ1,5,40,20
基础架构 Serverless/FaaS 研发工程师,基础架构,北京,RF8S1,5,60,30
后端开发工程师 - 开发者工具方向,基础架构,北京,WTH1,3,60,30
流量接入平台研发工程师,基础架构,北京,J1JF1,5,45,25
数据库基础软件 - 高级工程师,基础架构,北京,M5GL,5,50,30
云原生 PaaS 高级软件工程师,基础架构,杭州,B3817,5,60,30
服务端架构师 - 云平台,基础架构,深圳,E5699,5,60,30
CDN系统架构师 — 融合CDN,基础架构,上海,CTR1,2,55,35
服务端开发工程师 - 基础架构,基础架构,北京,JNXS1,3,40,20
可信数据库基础软件架构师,基础架构,杭州,JAFL,3,60,30
云原生 PaaS 高级软件工程师,基础架构,上海,H4391,5,60,30
服务端开发工程师 - 风险治理,基础架构,北京,B3747,5,60,30
边缘云-云网络资深技术专家,基础架构,深圳,E9806,1,100,50
分布式存储开发高级工程师,基础架构,上海,Y3804,5,60,30
虚拟化高级研发工程师,基础架构,深圳,3KQL,3,40,25
云原生研发工程师 - 组件研发,基础架构,杭州,PD8V,5,60,30
数据库基础软件高级工程师,基础架构,杭州,6FL,3,60,30
高级研发工程师 - 效能体系 - DevOps方向,基础架构,上海,JCHFL,5,60,30
虚拟化工程师,基础架构,北京,JUUB2,10,60,30
基础存储架构师/工程师 -- Bytestore,基础架构,成都,A1ML,10,50,25
虚拟化高级研发工程师,基础架构,上海,SQ3P,3,40,25
SSD固件研发工程师,基础架构,上海,T5HV,10,40,30
解决方案架构师 - 效能体系 - DevOps方向,基础架构,上海,HJFL,5,60,30
火山引擎大数据测试开发工程师/架构师,基础架构,杭州,JTQSV,5,50,20
服务端架构师 - 云平台,基础架构,上海,W6514,5,60,30
网络虚拟化资深研发工程师,基础架构,北京,J298V,2,70,40
高级前端开发工程师 - 移动平台,基础架构,杭州,776L,5,60,30
SoC系统性能工程师,基础架构,深圳,J4HQL,6,40,20
流式计算研发工程师/架构师,基础架构,北京,8CHF1,6,50,30
SOC仿真建模（ARM）,基础架构,上海,KRMP,2,50,25
GPU研发工程师,基础架构,北京,MRAL,5,60,30
服务端研发工程师 - 云平台,基础架构,上海,Q7025,8,50,25
火山引擎大数据测试开发工程师/架构师,基础架构,北京,JJVSV,5,50,20
高级研发工程师 - 效能体系 - 协同工具方向,基础架构,杭州,KMFL,5,60,30
程序语言工程师 - 语言团队,基础架构,北京,W6J1,5,50,25
火山引擎大数据测试开发工程师/架构师,基础架构,上海,8WQV,5,50,20
FPGA数字验证工程师,基础架构,杭州,JTVAL,5,60,30
网络运维开发工程师-成都,基础架构,成都,JHQEV,1,40,20
时序OLAP引擎研发工程师,基础架构,杭州,JTAR2,5,50,25
程序语言工程师-LLVM方向,基础架构,北京,JDYSL,3,60,30
存储系统研发工程师（新硬件方向）,基础架构,成都,A5577,3,60,30
前端开发工程师 - 云计算方向,基础架构,上海,J496L,5,60,30
高级研发工程师 - CloudIDE - 基础架构方向,基础架构,杭州,JRVYV,3,50,25
存储研发工程师,基础架构,杭州,JST9L,3,40,25
服务端研发工程师 - 云平台,基础架构,深圳,P4960,8,50,25
交换机软件工程师,基础架构,上海,G3396,2,40,25
基础存储架构师/工程师 -- Bytestore,基础架构,深圳,JG9PL,10,50,25
数据库基础软件 - 密码学方向,基础架构,北京,JYDGL,5,50,35
数据库基础软件开发工程师 ,基础架构,杭州,JT6FL,3,40,30
大数据存储研发工程师,基础架构,上海,JNAPV,5,60,30
虚拟化研发工程师,基础架构,杭州,RJBF1,5,32,18
时序组件研发工程师,基础架构,上海,RLQW1,2,60,30
基础架构 Serverless/FaaS 研发工程师,基础架构,杭州,JLTA1,10,60,30
CDN大数据研发工程,基础架构,北京,81SJ1,5,40,20
研发平台工程师-Dev Cloud 方向,基础架构,北京,P1KV,5,60,30
分布式块存储、文件存储研发工程师,基础架构,北京,JKFQ1,6,60,30
关系型数据库产品开发工程师,基础架构,西安,M322,5,50,25
云计算数据库产品SRE工程师（Cloud DBA）,基础架构,杭州,PT3V,10,50,20
APM平台开发工程师,基础架构,北京,42FL,5,60,30
HSAP引擎高级开发工程师/架构师/研发 leader,基础架构,杭州,8WPV,5,60,20
SoC系统软件工程师,基础架构,北京,DKF1,15,40,20
网络开发工程师-成都,基础架构,成都,JKWEV,1,40,20
Supply Chain Manager ,基础架构,吉隆坡,JY9VV,1,0,0
云原生运维平台研发工程师,基础架构,杭州,JGJVV,5,60,30
分布式图数据库研发工程师,基础架构,北京,J1YH1,2,60,30
HTAP数据库研发工程师,基础架构,深圳,4CPV,5,60,30
SOC前端设计（RISC-V）,基础架构,上海,2MMP,2,50,25
Rust 框架和中间件研发工程师,基础架构,上海,J21M2,5,60,30
Go研发高级工程师 — 基础架构,基础架构,北京,88Y31,8,60,30
IDC高级技术工程师,基础架构,北京,JVGYP,2,45,25
内存数据库架构师/开发工程师,基础架构,北京,JY6PV,8,60,30
数据库解决方案架构师-火山引擎,基础架构,深圳,DP22,10,70,25
服务端(高级)研发工程师 - 视频云私有化,基础架构,上海,JAUGV,5,50,25
网络研发工程师 -高速网络,基础架构,上海,J9A61,4,44,28
服务端开发工程师 - 风险治理,基础架构,上海,FQK1,5,60,30
KV 存储引擎工程师/架构师,基础架构,北京,BDEP,5,50,25
经营分析专家,基础架构,北京,JAB22,5,50,20
Linux内核研发工程师,基础架构,杭州,JB5F1,5,50,25
基础架构高级工程师 — 云计算/存储/系统架构,基础架构,北京,855V1,10,50,25
分布式数据库存储引擎开发工程师 ,基础架构,成都,P6PV,5,60,30
OLAP 引擎研发高级工程师,基础架构,上海,822W1,3,60,30
